id,title,description,preconditions,postconditions,tags,priority,severity,type,behavior,automation,status,is_flaky,layer,steps_type,steps_actions,steps_result,steps_data,milestone_id,milestone,suite_id,suite_parent_id,suite,suite_without_cases,parameters,is_muted
18,Declining from the row records the decline without ending the call,"A decline is recorded against the decliner's own membership only. It must never end the call for anyone else, and the row keeps its place as the way back in.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = On. Setting: VideoConf_Enable_Persistent_Chat = Off. A direct message between user1 and user2 exists.",Set VideoConf_Conference_Window_Enabled back to Off. Close every call window still open and let any call left running end (10s after the last participant leaves).,"videoconf,conference-window,flag-on,ringing,decline,automation-candidate",high,major,functional,positive,to-be-automated,actual,no,e2e,classic,"1. Have user1 place a direct call to user2 and enter it. As user2, click the cross (Decline) on the ringing row.
2. As user1, look at the People panel in the call window.
3. As user2, click the body of the declined row.
4. Click ""Join call"".
","1. The ring stops. The row stays in the list, no longer presented as ringing, with ""(Declined)"" where its actions were.
2. user2 is listed under ""Not in the call"" with the status ""Declined"" and a phone button to call them back. The call itself is still running and user1 is still in it.
3. The call window opens on the join preflight - declining does not bar joining afterwards.
4. user2 joins the call. user1's People panel moves user2 to ""In call"".
","1. 
2. 
3. 
4. 
",,,4,1,Flag ON - being called,,,no
19,Silencing a ring stops the sound and leaves the call alone,"Silencing is not answering: it stops this client making noise and leaves the call exactly where it is, so the user can decide in their own time.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = On. Setting: VideoConf_Enable_Persistent_Chat = Off. A direct message between user1 and user2 exists.",Set VideoConf_Conference_Window_Enabled back to Off. Close every call window still open and let any call left running end (10s after the last participant leaves).,"videoconf,conference-window,flag-on,ringing,silence,automation-candidate",high,major,functional,positive,to-be-automated,actual,no,e2e,classic,"1. Have user1 place a direct call to user2 and enter it. As user2, open the navbar video dropdown.
2. Click the bell-off (Silence) button.
3. As user1, look at the People panel.
4. As user2, click the row body and confirm with ""Join call"".
","1. The ringing row carries three controls: a bell-off (Silence) button, a cross (Decline) button, and the row itself.
2. The ring tone stops immediately. The row is still presented as ringing (""Ringing..."" in the timestamp corner) and the Silence button is replaced by a static bell-off icon titled ""Incoming call silenced"".
3. user2 still reads ""Ringing"" - nothing was reported to the caller.
4. user2 joins the call normally.
","1. 
2. 
3. 
4. 
",,,4,1,Flag ON - being called,,,no
20,A ring left unanswered lapses after 15 seconds,"Nothing announces that a ring ended, so both the list and the members panel have to wake themselves when the 15-second window is up.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = On. Setting: VideoConf_Enable_Persistent_Chat = Off. A direct message between user1 and user2 exists.",Set VideoConf_Conference_Window_Enabled back to Off. Close every call window still open and let any call left running end (10s after the last participant leaves).,"videoconf,conference-window,flag-on,ringing,timing,automation-candidate",high,major,functional,positive,to-be-automated,actual,no,e2e,classic,"1. Have user1 place a direct call to user2 and enter it. As user2, open the navbar video dropdown and do nothing.
2. Wait about 15 seconds without touching anything.
3. As user1, look at the People panel.
4. As user1, click that phone button.
","1. The row reads ""Ringing..."" and the navbar button is red.
2. Without any interaction the row stops reading ""Ringing..."", its Silence button disappears and the navbar button stops being red - the call is still listed, it just is not asking any more.
3. user2's status has changed from ""Ringing"" to ""Waiting for answer"", and a phone button has appeared on their row.
4. user2 rings again: the tone plays, the navbar button turns red and the row reads ""Ringing..."" once more.
","1. 
2. 
3. 
4. 
",,,4,1,Flag ON - being called,,,no
21,"A group conference now rings the room, up to ten people","The server had long broadcast a ring for group conferences that no client handled. With the call window on the client acts on it, so group conferences that had silently not rung will ring - intended, but a visible change beyond ring-on-add.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = On. Setting: VideoConf_Enable_Persistent_Chat = Off. A public channel #qa-calls with exactly three members: user1, user2, user3. All three are looking at the app.",Set VideoConf_Conference_Window_Enabled back to Off. Close every call window still open and let any call left running end (10s after the last participant leaves).,"videoconf,conference-window,flag-on,ringing,group,automation-candidate",medium,normal,functional,positive,to-be-automated,actual,no,e2e,classic,"1. As user1, start a conference in #qa-calls from the header camera button and confirm the preflight.
2. Look at user2 and user3.
3. Wait 15 seconds without answering on either side.
4. As user2, click the row and confirm ""Join call"".
","1. user1 lands in the call.
2. Both hear a ring tone and both get a red navbar video button whose dropdown opens itself, listing the conference as ringing.
3. Both rows stop reading ""Ringing..."" and stay listed as an ordinary running call. Nothing rings again - a server ring is one-shot.
4. user2 joins the conference; user1's members badge grows to 2.
","1. 
2. 
3. 
4. 
",,,4,1,Flag ON - being called,,,no
22,A conference in a room with more than ten other members rings nobody,"Ringing is capped at RING_RECIPIENTS_LIMIT (10) recipients per action, so a conference started in a busy room rings nobody at all - which is exactly why the ongoing-calls list exists.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = On. Setting: VideoConf_Enable_Persistent_Chat = Off. A public channel #qa-big whose membership is user1 plus at least 11 other users, one of which is user2 and is looking at the app.",Set VideoConf_Conference_Window_Enabled back to Off. Close every call window still open and let any call left running end (10s after the last participant leaves).,"videoconf,conference-window,flag-on,ringing,limits,automation-candidate",medium,normal,functional,negative,to-be-automated,actual,no,e2e,classic,"1. As user1, start a conference in #qa-big and confirm the preflight.
2. Look at user2.
3. As user2, open the navbar video dropdown.
","1. user1 lands in the call and the conference message is posted in #qa-big.
2. No ring tone, no desktop notification, and no red navbar button.
3. The conference is listed as a running call and can be joined from the row - the list is the route in when the ring never happened.
","1. 
2. 
3. 
",,,4,1,Flag ON - being called,,,no
23,"Devices are chosen only at the preflight, and remembered","The room popups used to ask about mic and camera seconds before a window opened and the conference then joined with hardcoded values. The preflight is now the only place they are set, and the answer is a habit rather than a per-call decision.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = On. Setting: VideoConf_Enable_Persistent_Chat = Off. A direct message between user1 and user2. user1's browser has no videoconf-call-preferences entry in localStorage (clear it first).",Set VideoConf_Conference_Window_Enabled back to Off. Close every call window still open and let any call left running end (10s after the last participant leaves).,"videoconf,conference-window,flag-on,preflight,devices,automation-candidate",high,major,functional,positive,to-be-automated,actual,no,e2e,classic,"1. As user1, open the call window from the direct message with user2.
2. Click the camera toggle.
3. Click Cancel, then click the room header camera button again.
4. Confirm the call, then close the call window and inspect localStorage for the key videoconf-call-preferences.
","1. The camera tile shows a crossed-out camera icon and the words ""Your camera is turned off"". Below it a microphone toggle reads ""Mic on"" and a camera toggle reads ""Cam off"" - joining muted and unseen is the default.
2. The tile switches to a camera icon and ""Your camera will be on"", plus the line ""Which devices are used is chosen in the call"". No browser camera permission prompt appears and no self-view is shown.
3. The new preflight opens with the camera already on - the choice was remembered.
4. It holds an object with mic, cam and ring flags matching the choices just made.
","1. 
2. 
3. 
4. 
",,,5,1,Flag ON - the preflight,,,no
24,Joining an existing call shows who is already in it,"The join preflight is a different screen from the start preflight: it says ""Join"", not ""Start"", and it shows the faces of the people already there.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = On. Setting: VideoConf_Enable_Persistent_Chat = Off. A public channel #qa-calls with user1, user2 and user3. user1 has started a conference in it named ""Sprint sync"" and is in the call; user3 has joined it too.",Set VideoConf_Conference_Window_Enabled back to Off. Close every call window still open and let any call left running end (10s after the last participant leaves).,"videoconf,conference-window,flag-on,preflight,automation-candidate",high,major,functional,positive,to-be-automated,actual,no,e2e,classic,"1. As user2, open the navbar video dropdown and click the ""Sprint sync"" row.
2. Look under the heading.
3. Check for a name field.
4. Click ""Join call"".
","1. The call window opens headed ""Join the conference"", with a ""Join call"" confirm button and a Cancel button.
2. A ""People in the call"" label with the avatars of user1 and user3 beneath it.
3. There is none: user2 did not create this conference, so it is not theirs to name.
4. user2 lands in the call; the members badge in the top bar reads 3.
","1. 
2. 
3. 
4. 
",,,5,1,Flag ON - the preflight,,,no
25,The creator can rename a running group conference from the preflight,"The same field goes to POST /v1/video-conference.rename for a conference that already exists, and only the creator gets it. Renaming is never worth failing a join over.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = On. Setting: VideoConf_Enable_Persistent_Chat = Off. A public channel #qa-calls with user1 and user2. user1 has started a conference in it named ""Meeting in qa-calls"" and then closed the call window (so the call is still running because user2 is in it).",Set VideoConf_Conference_Window_Enabled back to Off. Close every call window still open and let any call left running end (10s after the last participant leaves).,"videoconf,conference-window,flag-on,preflight,naming,automation-candidate",medium,normal,functional,positive,to-be-automated,actual,no,e2e,classic,"1. As user1, open the navbar video dropdown and click the conference row.
2. Replace the name with ""Renamed by owner"" and click ""Join call"".
3. As user2 (already in the call), look at the top bar.
4. As user2, leave and reopen the join preflight for the same conference.
","1. The call window opens on the join preflight with a name field prefilled with the call's current name.
2. user1 joins the call and its top bar reads ""Renamed by owner"".
3. It also reads ""Renamed by owner"" - the change reached everyone.
4. user2 gets no name field: only the creator may name the call.
","1. 
2. 
3. 
4. 
",,,5,1,Flag ON - the preflight,,,no
26,The preflight for a call that has already ended says so,"A call reached from a stale list row, or one that ends while the user is still deciding, must land on a ""Call ended"" state rather than an empty call.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = On. Setting: VideoConf_Enable_Persistent_Chat = Off. A public channel #qa-calls with user1 and user2. A conference has been started in it and then ended (everyone left and the 10-second grace period elapsed). user1 knows its callId.",Set VideoConf_Conference_Window_Enabled back to Off. Close every call window still open and let any call left running end (10s after the last participant leaves).,"videoconf,conference-window,flag-on,preflight,lifecycle,automation-candidate",medium,normal,functional,positive,to-be-automated,actual,no,e2e,classic,"1. As user2, open /conference/<callId> for the ended conference in a new window.
2. Click Close.
3. Repeat with user2 sitting on the join preflight of a live conference, and have the last participant leave so the call ends.
","1. The window shows a state page with a phone-off icon, the title ""Call ended"" and a single Close button - not a preflight and not an error page.
2. The window closes (or, where the browser refuses to close it, lands on /home).
3. The preflight is replaced by the ""Call ended"" state page without a reload, driven by the real-time conference update.
","1. 
2. 
3. 
",,,5,1,Flag ON - the preflight,,,no
27,"The call window is standalone, with the provider framed and a bar of our own","The conference renders without the app's navigation chrome, and the bar carrying the call's name and our own controls sits above both the call and its panels.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = On. Setting: VideoConf_Enable_Persistent_Chat = Off. A public channel #qa-calls with user1, user2 and user3. user1 has started a conference in it and is in the call, in its call window.",Set VideoConf_Conference_Window_Enabled back to Off. Close every call window still open and let any call left running end (10s after the last participant leaves).,"videoconf,conference-window,flag-on,call-window,automation-candidate",high,major,smoke,positive,to-be-automated,actual,no,e2e,classic,"1. Look at the call window.
2. Look at the top bar from the inline start.
3. Look at the top bar's inline end.
4. Hover the middle of the call area for a few seconds.
","1. No navbar, no sidebar and no global banner: the window is a top bar plus the call filling the rest. The provider's page is rendered inside the window (an iframe), not in a tab of its own.
2. A running timer counting up from the moment the conference was created, then a faint separator, then the call's name.
3. Exactly two controls: a members (people) button and a chat (balloon) button.
4. No tooltip floats over the call - the frame is named with aria-label rather than title precisely so this does not happen.
","1. 
2. 
3. 
4. 
",,,6,1,Flag ON - the call window,,,no
28,The members badge counts who is in the call and the panel splits them in two,"The members count is who is here now, and the panel answers two different questions with two sections.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = On. Setting: VideoConf_Enable_Persistent_Chat = Off. A public channel #qa-calls with user1, user2 and user3. user1 has started a conference in it and is in the call, in its call window.",Set VideoConf_Conference_Window_Enabled back to Off. Close every call window still open and let any call left running end (10s after the last participant leaves).,"videoconf,conference-window,flag-on,call-window,members,automation-candidate",high,major,functional,positive,to-be-automated,actual,no,e2e,classic,"1. As user1, look at the members button in the top bar.
2. Add user3 to the conference from the People panel (Add people), leaving Ring people checked, and have user3 ignore the ring.
3. Open the People panel.
4. Have user3 join the call.
","1. It carries a neutral (not red) badge reading 1.
2. The badge still reads 1: user3 is a member but is not in the call.
3. It shows an ""In call"" section containing user1, and a ""Not in the call"" section containing user3 with a status line under their name. A section nobody is in is not rendered at all.
4. user3 moves into ""In call"", their status line disappears, and the badge reads 2.
","1. 
2. 
3. 
4. 
",,,6,1,Flag ON - the call window,,,no
29,The chat badge shows what is unread while the panel is closed,"Knowing what is unread is the page's business, since the badge exists exactly when the panel is not mounted. It uses the sidebar's own unread rules, so a mention reads as urgent in both places.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = On. Setting: VideoConf_Enable_Persistent_Chat = Off. A public channel #qa-calls with user1, user2 and user3. user1 has started a conference in it and is in the call, in its call window.",Set VideoConf_Conference_Window_Enabled back to Off. Close every call window still open and let any call left running end (10s after the last participant leaves).,"videoconf,conference-window,flag-on,call-window,chat,automation-candidate",high,major,functional,positive,to-be-automated,actual,no,e2e,classic,"1. As user1, make sure no panel is open in the call window. Have user2 post two ordinary messages in #qa-calls.
2. Have user2 post a message mentioning @user1.
3. Click the chat button to open the chat panel.
4. Close the panel and have user2 post again.
","1. A badge appears on the chat button reading 2.
2. The badge changes to the mention (urgent/danger) variant.
3. The panel opens showing #qa-calls, the messages are marked read, and the badge disappears from the button.
4. The badge comes back with the new count.
","1. 
2. 
3. 
4. 
",,,6,1,Flag ON - the call window,,,no
30,Only one side panel is open at a time,"Two side panels beside a call would leave the call a sliver, so the two share one slot.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = On. Setting: VideoConf_Enable_Persistent_Chat = Off. A public channel #qa-calls with user1, user2 and user3. user1 has started a conference in it and is in the call, in its call window.",Set VideoConf_Conference_Window_Enabled back to Off. Close every call window still open and let any call left running end (10s after the last participant leaves).,"videoconf,conference-window,flag-on,call-window,automation-candidate",medium,normal,functional,positive,to-be-automated,actual,no,e2e,classic,"1. Open the People panel from the top bar.
2. Click the chat button.
3. Click the chat button again.
4. Close the panel using the cross in its own header instead.
","1. The panel slides in from the inline end; the call area narrows and the top bar stays full width and does not move.
2. The People panel is replaced by the chat panel in the same slot - they are never both open.
3. The chat panel closes and the call area takes the width back.
4. The panel closes the same way; the cross sits at the far inline end of the panel header.
","1. 
2. 
3. 
4. 
",,,6,1,Flag ON - the call window,,,no
31,Member statuses and the ring-back button follow what happened last,"A membership entry accumulates, so the label is the last thing that happened: in the call beats everything, left beats an earlier decline, and ringing is offered only when there is something to ask.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = On. Setting: VideoConf_Enable_Persistent_Chat = Off. A public channel #qa-calls with user1, user2 and user3. user1 has started a conference and is in it.",Set VideoConf_Conference_Window_Enabled back to Off. Close every call window still open and let any call left running end (10s after the last participant leaves).,"videoconf,conference-window,flag-on,members,ringing,automation-candidate",high,major,functional,positive,to-be-automated,actual,no,e2e,classic,"1. From the People panel, add user2 and user3 with Ring people checked. Immediately open the panel.
2. Wait 15 seconds without either of them answering.
3. Have user2 decline from their ongoing-calls row.
4. Have user3 join the call and then close their call window.
5. Click the phone button on user3's row.
","1. Both are under ""Not in the call"" reading ""Ringing"", and neither row has a phone button.
2. Both rows change to ""Waiting for answer"" and each grows a phone button.
3. user2's row reads ""Declined"" and keeps its phone button - calling them back is exactly this case.
4. user3's row moves to ""Not in the call"" reading ""Left"", with a phone button. It does not read ""Declined"" or ""Waiting for answer"".
5. user3 hears a ring tone and their row changes to ""Ringing"" with the phone button gone.
","1. 
2. 
3. 
4. 
5. 
",,,6,1,Flag ON - the call window,,,no
32,The call window stays on the conference whatever the chat links to,"The chat panel is a full room UI, so a link, mention or room reference would navigate the window away and tear down the call. Everything that would leave opens in a new tab instead.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = On. Setting: VideoConf_Enable_Persistent_Chat = Off. A public channel #qa-calls with user1 and user2, and a second channel #qa-other that user1 is a member of. user1 has started a conference in #qa-calls and is in it. A message in #qa-calls contains a link to https://rocket.chat, a #qa-other channel reference and an @user2 mention.",Set VideoConf_Conference_Window_Enabled back to Off. Close every call window still open and let any call left running end (10s after the last participant leaves).,"videoconf,conference-window,flag-on,call-window,navigation,automation-candidate",high,critical,functional,positive,to-be-automated,actual,no,e2e,classic,"1. Open the chat panel in the call window and click the https://rocket.chat link.
2. Click the #qa-other channel reference.
3. Click the @user2 mention.
4. Ctrl/Cmd-click the https://rocket.chat link.
","1. A new browser tab opens at rocket.chat. The call window is still on /conference/<callId> and the call is still running.
2. A new tab opens at the workspace showing #qa-other. The call window is untouched.
3. A new tab opens at the direct message with user2. The call window is untouched.
4. The modified click behaves as the browser normally would (background tab); the call window is still on the conference.
","1. 
2. 
3. 
4. 
",,,6,1,Flag ON - the call window,,,no
33,Joining another call from inside a call is disabled,"Joining another conference from inside a conference would replace the call the user is in, so the message block's own actions are disabled on the conference route.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = On. Setting: VideoConf_Enable_Persistent_Chat = Off. A public channel #qa-calls with user1 and user2. There is an older, ended conference message in #qa-calls as well as the one for the running call. user1 has started a conference and is in it.",Set VideoConf_Conference_Window_Enabled back to Off. Close every call window still open and let any call left running end (10s after the last participant leaves).,"videoconf,conference-window,flag-on,call-window,automation-candidate",medium,normal,functional,negative,to-be-automated,actual,no,e2e,classic,"1. Open the chat panel in the call window and scroll to the running call's own conference message block.
2. Scroll to the older, ended conference message block.
3. Open #qa-calls in the main app window instead.
","1. Its ""Join call"" button is disabled and cannot be clicked.
2. Its ""Call again"" button is disabled too.
3. The same message blocks there have their buttons enabled - the guard is scoped to the conference route.
","1. 
2. 
3. 
",,,6,1,Flag ON - the call window,,,no
34,"One call window, reused rather than stacked","In-product conferences share a named window, so repeated joins reuse it: the same conference is focused without reloading, a different one navigates it. The opener link is deliberately kept for a same-origin conference - it is what lets the main app report the leave if the call window disappears before it can.","Workspace on an Enterprise licence that includes the videoconference-enterprise module. A video conference provider app is installed, enabled and selected as the active provider - the bundled Jitsi app v2.1.1 unless the case says otherwise - and Admin > Settings > Video Conference reports no provider problem. VideoConf_Enable_DMs, VideoConf_Enable_Channels, VideoConf_Enable_Groups and VideoConf_Enable_Teams are all On. Users user1, user2 and user3 exist with the default user role, which carries the videoconf-ring-users permission. Browser popups are allowed for the workspace origin. Unless stated otherwise you are signed in as user1 in one browser profile and as user2 in a second one, both looking at the app. Setting: Admin > Settings > Video Conference > VideoConf_Conference_Window_Enabled = On. Setting: VideoConf_Enable_Persistent_Chat = Off. A public channel #qa-calls and a second channel #qa-other, both with user1 and user2. user2 has a conference running in each, and user1 is in neither. Devtools available in the call window.",Set VideoConf_Conference_Window_Enabled back to Off. Close every call window still open and let any call left running end (10s after the last participant leaves).,"videoconf,conference-window,flag-on,call-window,window-reuse,automation-candidate",high,major,functional,positive,to-be-automated,actual,no,e2e,classic,"1. As user1, open the navbar video dropdown and click the #qa-calls conference row, then confirm ""Join call"".
2. In the call window's console, evaluate window.name and window.opener === null.
3. In the main window, open the navbar dropdown and click the same #qa-calls row again.
4. Now click the #qa-other conference row and confirm the ""Leave ... to join this call"" prompt.
5. Count the browser windows.
","1. One call window opens and user1 is in the #qa-calls call. Note its size and position, and move it to a corner of the screen.
2. window.name is ""rocketchat-conference"" and window.opener === null is false - a same-origin conference shares one named window and keeps its opener link.
3. The existing call window is brought to the front. It is NOT reloaded (the timer keeps running and the provider call does not reconnect) and it is NOT resized or recentred.
4. The same window is navigated to the #qa-other conference. No second call window is opened.
5. Exactly two: the main app and one call window.
","1. 
2. 
3. 
4. 
5. 
",,,6,1,Flag ON - the call window,,,no
